Label,AnnRet,AnnVol,Sharpe,Sortino,MaxDD,TotalRet,Primary,Pair,Method,Window
VNQ-VGT,0.06715078376395842,0.11117929839279028,0.15426238528116729,1.0070041535095902,-0.1298710825883861,0.12996499720065535,VNQ,VGT,standard,20
VHT-VDE,0.06474853356522066,0.1021507131479501,0.14438013314561632,1.0262616038297985,-0.16861569609001514,0.12669915773124596,VHT,VDE,standard,10
VIS-VPU,0.060420705937961276,0.07917002187743818,0.13162439128908496,1.3854685615662834,-0.06342656610527153,0.12166819408971485,VIS,VPU,adaptive,5
VNQ-VGT,0.06331974412115356,0.11124915157853224,0.1197289501282266,0.891887853043255,-0.2185454132314011,0.12127979087443408,VNQ,VGT,adaptive,15
VCR-VPU,0.060558330530298694,0.10361221572346452,0.10190237180602706,1.060898992986409,-0.10310540151557157,0.1169934408130946,VCR,VPU,adaptive,5
VNQ-VGT,0.06105258217431527,0.1110120033515836,0.09956204591057576,0.8830716200619481,-0.17986172112631926,0.11627507434017192,VNQ,VGT,adaptive,10
VHT-VCR,0.058536080709097355,0.08921857387067014,0.09567604971439203,1.1267533156955798,-0.11638248226817127,0.11554015195490108,VHT,VCR,standard,10
VAW-VDE,0.05798127109375626,0.08593750943502138,0.09287296253088503,1.1382351794926129,-0.12667781448568483,0.1149370269544312,VAW,VDE,ewma,10
VAW-VDE,0.05646822795714291,0.09095900553017908,0.07111146300953045,1.0356398673897291,-0.14814513197646229,0.11057142255475605,VAW,VDE,standard,20
VCR-VHT,0.055319780044482764,0.09072059265245866,0.05863916767896723,1.1243877474091892,-0.07451499394635819,0.10809379148818232,VCR,VHT,adaptive,5
VIS-VDE,0.05462766821773862,0.08476791924639662,0.05459221199339999,1.0843502242075933,-0.11475641259789426,0.10769069762376615,VIS,VDE,adaptive,10
VDE-VHT,0.054538720704291874,0.09963357401024528,0.04555412921175768,0.9534636091051742,-0.12354932851276901,0.10447833149248686,VDE,VHT,ewma,5
VCR-VPU,0.054262030164924195,0.1009984948310607,0.0421989473412777,0.9036013072659823,-0.09560886531282464,0.10355602327026725,VCR,VPU,ewma,20
VHT-VFH,0.05127355867471071,0.06855929652164673,0.01857601724820264,1.2221674525429669,-0.06587947262800975,0.10300597065693018,VHT,VFH,standard,10
VCR-VHT,0.05008029470932247,0.08667958005172857,0.000926339390137846,1.0061367784789474,-0.09269262285468038,0.09729726084474177,VCR,VHT,ewma,20
VDE-VPU,0.049379276364315265,0.10034866585749089,-0.006185669040843992,0.8394326445862197,-0.09383973656002154,0.09296261620555546,VDE,VPU,ewma,5
VDE-VAW,0.04939273497997786,0.08707098661018721,-0.006974367049965404,1.0171538287362256,-0.13069237936642153,0.0957117279977846,VDE,VAW,ewma,5
VNQ-VCR,0.049296957975902174,0.08573303581871443,-0.008200363108386873,0.9485314501222496,-0.09337806096130041,0.09573844792304964,VNQ,VCR,standard,20
VHT-VFH,0.0491196508912647,0.07346832927277559,-0.011982702171797824,1.1273899726629721,-0.06416201300216218,0.09749961716361377,VHT,VFH,standard,15
VFH-VDC,0.04855515341225189,0.06902995822874448,-0.020930717978421807,1.2895911697563758,-0.11414966630055978,0.09695864545872479,VFH,VDC,ewma,10
VDE-VGT,0.04686901606465438,0.1160593810004301,-0.026977430935410017,0.6828915023873078,-0.1564121854766829,0.08377964193090115,VDE,VGT,adaptive,5
VDE-VNQ,0.04732007809762731,0.09785259152757352,-0.0273873370192495,0.8551893639911023,-0.11825383390266109,0.08900847347519636,VDE,VNQ,ewma,5
VIS-VDC,0.047824342864942984,0.07850340000327242,-0.02771417715622857,1.127977490166931,-0.06918071219462196,0.09382672925778546,VIS,VDC,adaptive,5
VHT-VOX,0.0471984196739499,0.08031485202220784,-0.034882468877305194,1.0225636866939303,-0.08437817813121296,0.09213285825398487,VHT,VOX,standard,10
VGT-VNQ,0.044450833799762175,0.11486284550125672,-0.048311237424263666,0.7055694428367137,-0.10387159831641657,0.07888060577007772,VGT,VNQ,standard,15
VFH-VDE,0.04357163127124194,0.09024923820281772,-0.07122906361061473,0.7984644570342335,-0.06196155969818706,0.08238214802937738,VFH,VDE,standard,5
VGT-VDC,0.04108267811149391,0.11858153801848136,-0.07519991760535455,0.6083070048595182,-0.12714086465811258,0.07067300507259455,VGT,VDC,ewma,10
VCR-VGT,0.043585605436494285,0.07550999285618636,-0.08494762508748079,0.9339671977642673,-0.07222831826008091,0.08505392834444625,VCR,VGT,adaptive,20
VGT-VDE,0.03959881294800539,0.11855258539206592,-0.08773479732725101,0.5737274240378608,-0.1647764633445966,0.06748820703155678,VGT,VDE,standard,15
VAW-VDE,0.04207325236612155,0.08968935440528472,-0.08838002777965503,0.8010917676487764,-0.13994311687039374,0.07925221509577218,VAW,VDE,standard,15
VDC-VGT,0.03885895660472251,0.11937142476564071,-0.093330907435765,0.5420753677617366,-0.14916833032321308,0.06569444114964229,VDC,VGT,ewma,5
VNQ-VOX,0.042599985663439456,0.07703350732374616,-0.09606227982663065,0.8995404821978142,-0.11069185819623639,0.08266450095510702,VNQ,VOX,adaptive,15
